java -classpath ./classes:/homes/raphael/courses/cs541/public/cup/java-cup-10k.jar P2 testInput.csx_go
Raphael Finkel
Begin test of CSX scanner.
1:1	Reserved (package)
29:5	Symbol (()
29:6	Identifier (b)
29:7	Symbol ())
29:8	Symbol (;)
31:1	Reserved (if)
31:4	Symbol (()
31:5	Identifier (b)
31:7	Symbol (||)
31:10	Boolean literal (true)
31:14	Symbol ())
32:2	Identifier (b)
32:4	Symbol (=)
32:6	Identifier (b)
32:8	Symbol (&&)
32:11	Boolean literal (false)
32:16	Symbol (;)
33:1	Reserved (else)
33:6	Identifier (b)
33:8	Symbol (=)
33:10	Symbol (!)
33:11	Symbol (()
33:12	Identifier (b)
33:14	Symbol (||)
33:17	Boolean literal (true)
33:21	Symbol ())
33:22	Symbol (;)
35:1	Identifier (L)
35:2	Symbol (:)
35:4	Reserved (for)
35:8	Symbol (()
35:9	Identifier (i)
35:11	Symbol (!=)
35:14	Integer literal (0)
35:15	Symbol ())
35:17	Symbol ({)
36:2	Identifier (i)
36:4	Symbol (=)
36:6	Identifier (i)
36:7	Symbol (*)
36:8	Identifier (i)
36:9	Symbol (/)
36:10	Integer literal (2)
36:11	Symbol (;)
36:13	Reserved (break)
36:19	Identifier (L)
36:20	Symbol (;)
37:2	Identifier (i)
37:4	Symbol (=)
37:6	Identifier (i)
37:7	Symbol (/)
37:8	Symbol (()
37:9	Identifier (i)
37:10	Symbol (-)
37:11	Integer literal (2)
37:12	Symbol ())
37:13	Symbol (;)
37:15	Reserved (continue)
37:24	Identifier (L)
38:1	Symbol (})
40:1	Reserved (if)
40:4	Symbol (()
40:5	Identifier (i)
40:7	Symbol (==)
40:10	Integer literal (10)
40:13	Symbol (||)
40:16	Identifier (i)
40:18	Symbol (<)
40:20	Integer literal (21)
40:23	Symbol (||)
40:26	Identifier (i)
40:28	Symbol (>)
40:30	Integer literal (-17)
40:34	Symbol (||)
40:37	Identifier (i)
40:39	Symbol (!=)
40:42	Integer literal (123)
40:45	Symbol ())
40:47	Symbol ({)
41:2	Reserved (print)
41:7	Symbol (()
41:9	Identifier (i)
41:10	Symbol ())
41:11	Symbol (;)
42:2	Identifier (p)
42:3	Symbol (()
42:4	Integer literal (17)
42:6	Symbol ())
42:7	Symbol (;)
43:1	Symbol (})
45:1	Reserved (if)
45:4	Symbol (()
45:5	Identifier (i)
45:7	Symbol (>=)
45:10	Identifier (f)
45:11	Symbol (()
45:12	Integer literal (-3)
45:14	Symbol ())
45:16	Symbol (||)
45:19	Identifier (i)
45:21	Symbol (<=)
45:24	Identifier (f)
45:25	Symbol (()
45:26	Identifier (i)
45:27	Symbol (-)
45:28	Integer literal (1)
45:29	Symbol ())
45:30	Symbol ())
46:2	Reserved (print)
46:7	Symbol (()
46:9	Identifier (i)
46:11	Symbol (,)
46:13	Identifier (f)
46:14	Symbol (()
46:15	Identifier (i)
46:16	Symbol ())
46:18	Symbol (,)
46:20	String literal ("\n")
46:24	Symbol ())
46:25	Symbol (;)
48:1	Symbol (})
End test of CSX scanner.
